code,value
GCROWNP25365359,99
GCROWNP83538205,99
GCROWNP63778253,99
GCROWNP64074083,99
GCROWNP846390,99
GCROWNP43546742,99
GCROWNP65581572,99
GCROWNP46292493,99
GCROWNP23812236,99
GCROWNP36153135,99
GCROWNP10446662,99
GCROWNP81474843,99
GCROWNP79202496,99
GCROWNP76535850,99
GCROWNP28474791,99
GCROWNP21212897,99
GCROWNP66587475,99
GCROWNP29103059,99
GCROWNP24980518,99
GCROWNP41337554,99
GCROWNP28167491,99
GCROWNP83014612,99
GCROWNP62701355,99
GCROWNP3856087,99
GCROWNP92724791,99
GCROWNP64460264,99
GCROWNP74840644,99
GCROWNP33121395,99
GCROWNP88862653,99
GCROWNP74956941,99
GCROWNP3386049,99
GCROWNP24828264,99
GCROWNP47312219,99
GCROWNP17504684,99
GCROWNP29412837,99
GCROWNP51446804,99
GCROWNP9709269,99
GCROWNP96355749,99
GCROWNP90478449,99
GCROWNP71528730,99
GCROWNP16681756,99
GCROWNP62952505,99
GCROWNP98100246,99
GCROWNP30107791,99
GCROWNP37245151,99
GCROWNP76717727,99
GCROWNP77773073,99
GCROWNP59777075,99
GCROWNP14762168,99
GCROWNP45793717,99
GCROWNP12893641,99
GCROWNP23871845,99
GCROWNP68540398,99
GCROWNP99013823,99
GCROWNP72460990,99
GCROWNP95791133,99
GCROWNP47726971,99
GCROWNP4747368,99
GCROWNP6681286,99
GCROWNP34465243,99
GCROWNP30426287,99
GCROWNP45949105,99
GCROWNP4848074,99
GCROWNP54748655,99
GCROWNP87862712,99
GCROWNP35795402,99
GCROWNP18383639,99
GCROWNP43410749,99
GCROWNP9407834,99
GCROWNP90405005,99
GCROWNP99211010,99
GCROWNP46775692,99
GCROWNP91025312,99
GCROWNP35335781,99
GCROWNP28025863,99
GCROWNP70989070,99
GCROWNP76054641,99
GCROWNP27986789,99
GCROWNP95164090,99
GCROWNP71732609,99
GCROWNP45659923,99
GCROWNP49204079,99
GCROWNP87570816,99
GCROWNP90465452,99
GCROWNP69563232,99
GCROWNP674349,99
GCROWNP17730778,99
GCROWNP85108814,99
GCROWNP69778583,99
GCROWNP52744099,99
GCROWNP67522814,99
GCROWNP31686430,99
GCROWNP77842369,99
GCROWNP25287377,99
GCROWNP21824488,99
GCROWNP56889794,99
GCROWNP205959,99
GCROWNP27147105,99
GCROWNP67149568,99
GCROWNP50322807,99
GCROWNP87518998,99
GCROWNP82271045,99
GCROWNP67187676,99
GCROWNP92030660,99
GCROWNP34336314,99
GCROWNP22540376,99
GCROWNP3525738,99
GCROWNP97563629,99
GCROWNP46533762,99
GCROWNP3660466,99
GCROWNP23795108,99
GCROWNP85593767,99
GCROWNP14676557,99
GCROWNP2379977,99
GCROWNP98877181,99
GCROWNP14963839,99
GCROWNP84538222,99
GCROWNP87092374,99
GCROWNP43951702,99
GCROWNP19106215,99
GCROWNP30396373,99
GCROWNP83253338,99
GCROWNP80083680,99
GCROWNP49816659,99
GCROWNP89407992,99
GCROWNP27327455,99
GCROWNP17916524,99
GCROWNP84583583,99
GCROWNP60188206,99
GCROWNP53612533,99
GCROWNP98826775,99
GCROWNP35103331,99
GCROWNP17196176,99
GCROWNP83527587,99
GCROWNP73283718,99
GCROWNP63091895,99
GCROWNP33208675,99
GCROWNP40690905,99
GCROWNP72865563,99
GCROWNP17785295,99
GCROWNP65701191,99
GCROWNP3666885,99
GCROWNP21029926,99
GCROWNP81620856,99
GCROWNP1991874,99
GCROWNP85541318,99
GCROWNP98298075,99
GCROWNP32090026,99
GCROWNP34219700,99
GCROWNP84513145,99
GCROWNP57897905,99
GCROWNP64947236,99
GCROWNP73238800,99
GCROWNP28325292,99
GCROWNP40595135,99
GCROWNP8686924,99
GCROWNP61905103,99
GCROWNP74355344,99
GCROWNP48971333,99
GCROWNP30387443,99
GCROWNP33244886,99
GCROWNP148916,99
GCROWNP49050185,99
GCROWNP96275949,99
GCROWNP9517089,99
GCROWNP90365804,99
GCROWNP13365085,99
GCROWNP21112380,99
GCROWNP37270194,99
GCROWNP14853182,99
GCROWNP85164613,99
GCROWNP20807227,99
GCROWNP42786329,99
GCROWNP65991374,99
GCROWNP17509276,99
GCROWNP84185540,99
GCROWNP91810191,99
GCROWNP73988787,99
GCROWNP93911441,99
GCROWNP96256122,99
GCROWNP601035,99
GCROWNP35135365,99
GCROWNP64586127,99
GCROWNP21822351,99
GCROWNP34365313,99
GCROWNP42497155,99
GCROWNP56597409,99
GCROWNP53853042,99
GCROWNP80790543,99
GCROWNP81097519,99
GCROWNP52312706,99
GCROWNP95424043,99
GCROWNP63327676,99
GCROWNP74099559,99
GCROWNP40980841,99
GCROWNP26745726,99
GCROWNP70828564,99
GCROWNP26278577,99
GCROWNP56017882,99
GCROWNP12136508,99
GCROWNP37568127,99
GCROWNP92453487,99
GCROWNP90386678,99
GCROWNP1845931,99
GCROWNP98660612,99
GCROWNP10530990,99
GCROWNP30690585,99
GCROWNP44097259,99
GCROWNP63965671,99
GCROWNP34612345,99
GCROWNP44000350,99
GCROWNP62834227,99
GCROWNP16520923,99
GCROWNP64580192,99
GCROWNP99326604,99
GCROWNP34997034,99
GCROWNP44662223,99
GCROWNP98705193,99
GCROWNP9203620,99
GCROWNP34995252,99
GCROWNP96032439,99
GCROWNP10051831,99
GCROWNP6453448,99
GCROWNP84421027,99
GCROWNP20943060,99
GCROWNP76056038,99
GCROWNP10210137,99
GCROWNP94103582,99
GCROWNP65813438,99
GCROWNP21309916,99
GCROWNP6766439,99
GCROWNP10305877,99
GCROWNP70277573,99
GCROWNP82487009,99
GCROWNP51183427,99
GCROWNP40436275,99
GCROWNP82824156,99
GCROWNP74138279,99
GCROWNP26881829,99
GCROWNP16153875,99
GCROWNP96888189,99
GCROWNP21976141,99
GCROWNP57452305,99
GCROWNP64077539,99
GCROWNP47915267,99
GCROWNP76138786,99
GCROWNP8855093,99
GCROWNP70892751,99
GCROWNP64367448,99
GCROWNP73158783,99
GCROWNP80914853,99
GCROWNP21081009,99
GCROWNP77690285,99
GCROWNP46439638,99
GCROWNP37447454,99
GCROWNP61998095,99
GCROWNP64207483,99
GCROWNP52170956,99
GCROWNP85921031,99
GCROWNP40672971,99
GCROWNP59419727,99
GCROWNP62550358,99
GCROWNP17329147,99
GCROWNP18390685,99
GCROWNP94461866,99
GCROWNP29975312,99
GCROWNP41853580,99
GCROWNP25746982,99
GCROWNP42601588,99
GCROWNP51440611,99
GCROWNP21482730,99
GCROWNP46539938,99
GCROWNP40331184,99
GCROWNP81253376,99
GCROWNP53668689,99
GCROWNP63390159,99
GCROWNP78187159,99
GCROWNP6829765,99
GCROWNP74153971,99
GCROWNP89238179,99
GCROWNP35991888,99
GCROWNP64445554,99
GCROWNP92605482,99
GCROWNP38991621,99
GCROWNP24264871,99
GCROWNP6037976,99
GCROWNP46367234,99
GCROWNP49326803,99
GCROWNP66866839,99
GCROWNP1425370,99
GCROWNP8631355,99
GCROWNP74564226,99
GCROWNP2120077,99
GCROWNP70084955,99
GCROWNP2871707,99
GCROWNP13922564,99
GCROWNP74013111,99
GCROWNP15192158,99
GCROWNP63315338,99
GCROWNP62990601,99
GCROWNP55219449,99
GCROWNP4676455,99
GCROWNP21810792,99
GCROWNP26407648,99
GCROWNP66081541,99
GCROWNP23439064,99
GCROWNP93288571,99
GCROWNP12699934,99
GCROWNP69417861,99
GCROWNP35187014,99
GCROWNP59349213,99
GCROWNP37836285,99
GCROWNP85828235,99
GCROWNP95581816,99
GCROWNP23281146,99
GCROWNP10167976,99
GCROWNP30246068,99
GCROWNP59171722,99
GCROWNP90546922,99
GCROWNP61378908,99
GCROWNP88418111,99
GCROWNP11079665,99
GCROWNP22026135,99
GCROWNP74191062,99
GCROWNP20658069,99
GCROWNP90804382,99
GCROWNP99910822,99
GCROWNP15193871,99
GCROWNP3024430,99
GCROWNP38176368,99
GCROWNP97051200,99
GCROWNP40339782,99
GCROWNP61472882,99
GCROWNP43978347,99
GCROWNP82673181,99
GCROWNP87727216,99
GCROWNP70554862,99
GCROWNP24732962,99
GCROWNP58395995,99
GCROWNP37986410,99
GCROWNP38965761,99
GCROWNP68178036,99
GCROWNP34200713,99
GCROWNP51047637,99
GCROWNP26432860,99
GCROWNP50083406,99
GCROWNP35180893,99
GCROWNP20736906,99
GCROWNP99415569,99
GCROWNP10738525,99
GCROWNP46806477,99
GCROWNP75814850,99
GCROWNP44917214,99
GCROWNP72374445,99
GCROWNP55237121,99
GCROWNP73715780,99
GCROWNP68569724,99
GCROWNP56524747,99
GCROWNP6682165,99
GCROWNP66207479,99
GCROWNP30516837,99
GCROWNP54176260,99
GCROWNP50461031,99
GCROWNP7437779,99
GCROWNP27767306,99
GCROWNP71873833,99
GCROWNP17613003,99
GCROWNP25119562,99
GCROWNP73222954,99
GCROWNP96547824,99
GCROWNP48986035,99
GCROWNP3165845,99
GCROWNP34731780,99
GCROWNP62426963,99
GCROWNP92644473,99
GCROWNP45880451,99
GCROWNP73042579,99
GCROWNP81025873,99
GCROWNP55403054,99
GCROWNP83659017,99
GCROWNP41830217,99
GCROWNP81573513,99
GCROWNP48642323,99
GCROWNP90150303,99
GCROWNP60051206,99
GCROWNP52485241,99
GCROWNP56698756,99
GCROWNP29158997,99
GCROWNP46730213,99
GCROWNP98767699,99
GCROWNP65606642,99
GCROWNP70366337,99
GCROWNP49234652,99
GCROWNP17307782,99
GCROWNP66215487,99
GCROWNP79033421,99
GCROWNP8650771,99
GCROWNP14131594,99
GCROWNP11107396,99
GCROWNP11907942,99
GCROWNP32152844,99
GCROWNP15439843,99
GCROWNP41816533,99
GCROWNP13008734,99
GCROWNP17217079,99
GCROWNP53745472,99
GCROWNP60224503,99
GCROWNP7020392,99
GCROWNP13225149,99
GCROWNP29381656,99
GCROWNP61989516,99
GCROWNP77340873,99
GCROWNP31167695,99
GCROWNP61618586,99
GCROWNP81847963,99
GCROWNP61798617,99
GCROWNP49778250,99
GCROWNP21579608,99
GCROWNP60726194,99
GCROWNP90142258,99
GCROWNP1853795,99
GCROWNP52763908,99
GCROWNP81234971,99
GCROWNP91658326,99
GCROWNP83006507,99
GCROWNP71594014,99
GCROWNP41185953,99
GCROWNP66583328,99
GCROWNP55768778,99
GCROWNP18648180,99
GCROWNP2939420,99
GCROWNP4796518,99
GCROWNP1517921,99
GCROWNP75188457,99
GCROWNP44512425,99
GCROWNP28317044,99
GCROWNP13870838,99
GCROWNP54227516,99
GCROWNP7825174,99
GCROWNP71452074,99
GCROWNP31202968,99
GCROWNP62881280,99
GCROWNP61973920,99
GCROWNP49349694,99
GCROWNP79948067,99
GCROWNP22379173,99
GCROWNP77385454,99
GCROWNP22012177,99
GCROWNP51720310,99
GCROWNP91436083,99
GCROWNP10581912,99
GCROWNP24995080,99
GCROWNP41581228,99
GCROWNP50657559,99
GCROWNP70100792,99
GCROWNP88470187,99
GCROWNP40261646,99
GCROWNP50425750,99
GCROWNP50419967,99
GCROWNP41291128,99
GCROWNP68046807,99
GCROWNP33608671,99
GCROWNP8951848,99
GCROWNP52913224,99
GCROWNP37196619,99
GCROWNP97616706,99
GCROWNP60578872,99
GCROWNP71987932,99
GCROWNP31732725,99
GCROWNP7820149,99
GCROWNP62315892,99
GCROWNP65502376,99
GCROWNP78662336,99
GCROWNP31658780,99
GCROWNP76226529,99
GCROWNP17208610,99
GCROWNP46149559,99
GCROWNP25959489,99
GCROWNP11467196,99
GCROWNP32986759,99
GCROWP79529442,129
GCROWP17123656,129
GCROWP70356459,129
GCROWP61525073,129
GCROWP66926515,129
GCROWP631290,129
GCROWP26328774,129
GCROWP3022694,129
GCROWP84812061,129
GCROWP34991030,129
GCROWP36165318,129
GCROWP51090467,129
GCROWP16783783,129
GCROWP40513199,129
GCROWP10260896,129
GCROWP76035325,129
GCROWP83639963,129
GCROWP99231751,129
GCROWP32402598,129
GCROWP95568829,129
GCROWP92466454,129
GCROWP32277856,129
GCROWP91615053,129
GCROWP91074304,129
GCROWP92288457,129
GCROWP48086704,129
GCROWP15390010,129
GCROWP29957530,129
GCROWP58147314,129
GCROWP22992200,129
GCROWP11384379,129
GCROWP45120381,129
GCROWP19461619,129
GCROWP32051862,129
GCROWP17135839,129
GCROWP49282744,129
GCROWP76710534,129
GCROWP11556282,129
GCROWP5151376,129
GCROWP37838286,129
GCROWP47626908,129
GCROWP17886190,129
GCROWP10070245,129
GCROWP5894003,129
GCROWP81126913,129
GCROWP37685812,129
GCROWP79000257,129
GCROWP43840054,129
GCROWP94950725,129
GCROWP70817447,129
GCROWP13817114,129
GCROWP78587289,129
GCROWP91971658,129
GCROWP39553448,129
GCROWP62590868,129
GCROWP80151640,129
GCROWP89458823,129
GCROWP41131954,129
GCROWP36862368,129
GCROWP60072220,129
GCROWP65262170,129
GCROWP99310711,129
GCROWP68542479,129
GCROWP4489260,129
GCROWP45693380,129
GCROWP35666421,129
GCROWP45682263,129
GCROWP29315363,129
GCROWP88473134,129
GCROWP91811437,129
GCROWP23977743,129
GCROWP91841012,129
GCROWP22482856,129
GCROWP93777257,129
GCROWP98312473,129
GCROWP46804688,129
GCROWP71219485,129
GCROWP93846722,129
GCROWP38864717,129
GCROWP47069327,129
GCROWP32113997,129
GCROWP944331,129
GCROWP39725362,129
GCROWP91204372,129
GCROWP31367770,129
GCROWP1020607,129
GCROWP915606,129
GCROWP74587141,129
GCROWP8006739,129
GCROWP35105076,129
GCROWP81164326,129
GCROWP24328663,129
GCROWP71593190,129
GCROWP57998595,129
GCROWP61062985,129
GCROWP3484195,129
GCROWP49605102,129
GCROWP97561423,129
GCROWP30910566,129
GCROWP19590265,129
GCROWP22006284,129
GCROWP10984837,129
GCROWP38232050,129
GCROWP24878147,129
GCROWP20568612,129
GCROWP54786707,129
GCROWP17028618,129
GCROWP16653103,129
GCROWP64404659,129
GCROWP99226608,129
GCROWP20980426,129
GCROWP73780341,129
GCROWP29540157,129
GCROWP29680734,129
GCROWP29955082,129
GCROWP79090854,129
GCROWP72869477,129
GCROWP86624702,129
GCROWP59963734,129
GCROWP87847623,129
GCROWP76624214,129
GCROWP98791316,129
GCROWP31846832,129
GCROWP35361841,129
GCROWP46270012,129
GCROWP32952700,129
GCROWP69122305,129
GCROWP37345577,129
GCROWP53236592,129
GCROWP84016869,129
GCROWP6448824,129
GCROWP601051,129
GCROWP12762012,129
GCROWP57450282,129
GCROWP14643274,129
GCROWP63088806,129
GCROWP69224087,129
GCROWP52219345,129
GCROWP88538131,129
GCROWP4383038,129
GCROWP48220472,129
GCROWP29081346,129
GCROWP37518935,129
GCROWP20382212,129
GCROWP82772199,129
GCROWP74223752,129
GCROWP57431289,129
GCROWP39629562,129
GCROWP47801822,129
GCROWP69868329,129
GCROWP87209131,129
GCROWP6600421,129
GCROWP93653170,129
GCROWP40036724,129
GCROWP56320711,129
GCROWP58278734,129
GCROWP91405566,129
GCROWP8756267,129
GCROWP4567309,129
GCROWP10502187,129
GCROWP45945387,129
GCROWP41805518,129
GCROWP44160623,129
GCROWP8088054,129
GCROWP69711094,129
GCROWP74138994,129
GCROWP83963608,129
GCROWP9035528,129
GCROWP50194302,129
GCROWP44749069,129
GCROWP38305671,129
GCROWP41423412,129
GCROWP11252781,129
GCROWP97741028,129
GCROWP44133961,129
GCROWP26333007,129
GCROWP41506411,129
GCROWP75936651,129
GCROWP75375900,129
GCROWP86996148,129
GCROWP30552762,129
GCROWP73144733,129
GCROWP89711607,129
GCROWP43289674,129
GCROWP92883826,129
GCROWP85777379,129
GCROWP58991672,129
GCROWP28489985,129
GCROWP96613862,129
GCROWP27821862,129
GCROWP42402760,129
GCROWP22466480,129
GCROWP18970812,129
GCROWP67729699,129
GCROWP14644124,129
GCROWP54350867,129
GCROWP81575429,129
GCROWP24728539,129
GCROWP3167583,129
GCROWP46249410,129
GCROWP31196150,129
GCROWP13445055,129
GCROWP62581372,129
GCROWP47998784,129
GCROWP54833079,129
GCROWP90846572,129
GCROWP35831128,129
GCROWP30361528,129
GCROWP9740792,129
GCROWP44196632,129
GCROWP1851474,129
GCROWP2298446,129
GCROWP48319173,129
GCROWP6058348,129
GCROWP36861321,129
GCROWP78397437,129
GCROWP67697792,129
GCROWP39459244,129
GCROWP95407092,129
GCROWP43703172,129
GCROWP65916750,129
GCROWP21531722,129
GCROWP71707245,129
GCROWP79015329,129
GCROWP68822986,129
GCROWP39212907,129
GCROWP26987342,129
GCROWP15886878,129
GCROWP94038806,129
GCROWP8852398,129
GCROWP16069036,129
GCROWP69524354,129
GCROWP80565512,129
GCROWP8450191,129
GCROWP13039998,129
GCROWP18837290,129
GCROWP47817007,129
GCROWP71912166,129
GCROWP73442312,129
GCROWP76512279,129
GCROWP42505022,129
GCROWP99643007,129
GCROWP66730338,129
GCROWP56649409,129
GCROWP14829816,129
GCROWP62231645,129
GCROWP48857990,129
GCROWP58167264,129
GCROWP42673635,129
GCROWP35122519,129
GCROWP19460152,129
GCROWP16684193,129
GCROWP26325503,129
GCROWP46386475,129
GCROWP12696357,129
GCROWP62426908,129
GCROWP72126352,129
GCROWP14930599,129
GCROWP70094714,129
GCROWP68284917,129
GCROWP89978289,129
GCROWP36632482,129
GCROWP98372333,129
GCROWP56200567,129
GCROWP95923751,129
GCROWP83265201,129
GCROWP4807177,129
GCROWP84440046,129
GCROWP19309734,129
GCROWP80047893,129
GCROWP11330564,129
GCROWP24991073,129
GCROWP41785042,129
GCROWP80754527,129
GCROWP98926938,129
GCROWP13837382,129
GCROWP45825296,129
GCROWP91411704,129
GCROWP52782181,129
GCROWP202924,129
GCROWP55118938,129
GCROWP73551376,129
GCROWP73171671,129
GCROWP53530694,129
GCROWP37421312,129
GCROWP44581023,129
GCROWP10759623,129
GCROWP71012276,129
GCROWP41906235,129
GCROWP67147112,129
GCROWP24000639,129
GCROWP45548851,129
GCROWP62654098,129
GCROWP10253267,129
GCROWP36936723,129
GCROWP92551053,129
GCROWP69860334,129
GCROWP97539484,129
GCROWP21769778,129
GCROWP72613839,129
GCROWP85521051,129
GCROWP70481757,129
GCROWP81435191,129
GCROWP85941245,129
GCROWP24420698,129
GCROWP60871598,129
GCROWP80916546,129
GCROWP71973032,129
GCROWP48002738,129
GCROWP17255272,129
GCROWP16242541,129
GCROWP87591692,129
GCROWP47849800,129
GCROWP34915943,129
GCROWP71072534,129
GCROWP67732429,129
GCROWP51587832,129
GCROWP7540286,129
GCROWP84752066,129
GCROWP27404736,129
GCROWP73496976,129
GCROWP28977145,129
GCROWP77998799,129
GCROWP33150229,129
GCROWP5833522,129
GCROWP5223143,129
GCROWP63153366,129
GCROWP16736710,129
GCROWP30049939,129
GCROWP53588135,129
GCROWP76121373,129
GCROWP20288780,129
GCROWP92829545,129
GCROWP26520494,129
GCROWP10319133,129
GCROWP92724599,129
GCROWP2803248,129
GCROWP11994542,129
GCROWP67119784,129
GCROWP43543832,129
GCROWP93728063,129
GCROWP47047472,129
GCROWP94200882,129
GCROWP92406996,129
GCROWP31547478,129
GCROWP90614414,129
GCROWP24568747,129
GCROWP16402163,129
GCROWP33506145,129
GCROWP40788495,129
GCROWP42267990,129
GCROWP84893650,129
GCROWP22329262,129
GCROWP64169897,129
GCROWP32803606,129
GCROWP53301042,129
GCROWP46500001,129
GCROWP24911823,129
GCROWP59563036,129
GCROWP46137206,129
GCROWP68146654,129
GCROWP3003563,129
GCROWP30600574,129
GCROWP57794706,129
GCROWP32896198,129
GCROWP94920566,129
GCROWP91061273,129
GCROWP64248476,129
GCROWP57150076,129
GCROWP42949423,129
GCROWP77034316,129
GCROWP37425927,129
GCROWP56519156,129
GCROWP52100976,129
GCROWP70374570,129
GCROWP23735942,129
GCROWP33346767,129
GCROWP43244159,129
GCROWP97170004,129
GCROWP47229604,129
GCROWP21314644,129
GCROWP66402321,129
GCROWP33784348,129
GCROWP32218997,129
GCROWP51676150,129
GCROWP71176275,129
GCROWP3757927,129
GCROWP44557693,129
GCROWP79623230,129
GCROWP60314251,129
GCROWP71995753,129
GCROWP34811530,129
GCROWP21740593,129
GCROWP6626762,129
GCROWP89739286,129
GCROWP23526058,129
GCROWP68328030,129
GCROWP59881220,129
GCROWP5339175,129
GCROWP10649216,129
GCROWP23884329,129
GCROWP96875716,129
GCROWP52438227,129
GCROWP43859644,129
GCROWP75978680,129
GCROWP5637425,129
GCROWP97151729,129
GCROWP28346883,129
GCROWP7182711,129
GCROWP8754872,129
GCROWP36350031,129
GCROWP52083627,129
GCROWP48876685,129
GCROWP62172774,129
GCROWP2964370,129
GCROWP30602123,129
GCROWP7852356,129
GCROWP33263789,129
GCROWP91225246,129
GCROWP62912188,129
GCROWP64450119,129
GCROWP64496214,129
GCROWP40348034,129
GCROWP90537435,129
GCROWP93742191,129
GCROWP54763619,129
GCROWP712572,129
GCROWP76980436,129
GCROWP41111572,129
GCROWP52772425,129
GCROWP69730887,129
GCROWP36496298,129
GCROWP19724698,129
GCROWP77259802,129
GCROWP49683937,129
GCROWP31396998,129
GCROWP63409124,129
GCROWP68382048,129
GCROWP42323190,129
GCROWP68203126,129
GCROWP87926727,129
GCROWP81451869,129
GCROWP32548025,129
GCROWP15295537,129
GCROWP65972316,129
GCROWP52442436,129
GCROWP20064032,129
GCROWP13947766,129
GCROWP98797637,129
GCROWP20162593,129
GCROWP81544101,129
GCROWP80674038,129
GCROWP1496091,129
GCROWP22049710,129
GCROWP69063689,129
GCROWP33588947,129
GCROWP26588696,129
GCROWP31491886,129
GCROWP51075183,129
GCROWP5622367,129
GCROWP4689085,129
GCROWP42670096,129
GCROWP81364361,129
GCROWP17255341,129
GCROWP50159816,129
GCROWP85961088,129
GCROWP16615497,129
GCROWP3091080,129
GCROWP48630307,129
GCROWP95845136,129
GCROWP35706735,129
GCROWP36109076,129
GCROWP28426561,129
GCROWP81058832,129
GCROWP30954036,129
GCROWP89741143,129
GCROWP80319572,129
GCROWP58881728,129
GCROWP72947499,129
GCROWP90737164,129
GCROWP93709995,129
GCROWP37681583,129
GCROWP79768045,129
GCROWP82243469,129
GCROWP38908389,129
GCROWP32322122,129
GCROWP81476499,129
GCROWP77937515,129
GCROWP87356755,129
GCROWP73887348,129
GCROWP40286878,129
GCROWP58812862,129
GCROWP96390683,129
GCROWP66974765,129
GCROWP26873055,129
GCROWP3049959,129
GCROWP18083329,129
GCROWP19537866,129
GCROWP31283397,129
GCROWP62917258,129
GCROWP78881842,129
GCROWP2800644,129
GCROWP76166041,129
GCROWP6742733,129
GCROWP83560263,129
GCROWP42796943,129
GCROWP67738039,129
GCROWP94373162,129
GCROWP9843297,129
GCROWP23309611,129
GCROWP74819338,129
GCROWP68220277,129
GCROWP73616251,129
GCROWP10863189,129
GCROWP92366353,129
GCROWP63113638,129
GCROWP5575342,129
GCROWP90720063,129
GCROWP95855119,129
GCROWP52865115,129
GCROWP96974731,129
GCROWP1773691,129
GCROWP52744225,129
GCROWP85170989,129
GCROWP73893360,129
GCROWP86722182,129
GCROWP61625811,129
GCROWP19638774,129
GCROWP2263414,129
GCROWP88808542,129
GCROWP43775542,129
GCROWP9281702,129
GCROWP41258196,129
GCROWP88630508,129
GCROWP28598027,129
GCROWP55658373,129
GCROWP8151292,129
GCROWP59843539,129
GCROWP49509775,129
GCROWP21457276,129
GCROWP96094201,129
GCROWP36226506,129
GCROWP22255111,129
GCROWP96238022,129
GCROWP28037083,129
GCROWP31431656,129
GCROWP74301622,129
GCROWP27298414,129
GCROWP36405615,129
GCROWP43509162,129
GCROWP86976338,129
GCROWP1533811,129
GCROWP84469369,129
GCROWP3345479,129
GCROWP68865826,129
GCROWP47834998,129
GCROWP29767169,129
GCROWP16497647,129
GCROWP50693031,129
GCROWP53987858,129
GCROWP47637129,129
GCROWP87550116,129
GCROWP66927243,129
GCROWP38698603,129
GCROWP83636215,129
GCROWP44380387,129
GCROWP38745669,129
GCROWP4055864,129
GCROWP32059207,129
GCROWP81510785,129
GCROWP15619754,129
GCROWP43338309,129
GCROWP86733237,129
GCROWP3296743,129
GCROWP24456297,129
GCROWP41717237,129
GCROWP18013238,129
GCROWP89763059,129
GCROWP99032454,129
GCROWP3209386,129
GCROWP39970526,129
GCROWP14434765,129
GCROWP22501721,129
GCROWP18064112,129
GCROWP48433825,129
GCROWP52952818,129
GCROWP6001139,129
GCROWP58316050,129
GCROWP54090046,129
GCROWP73169457,129
GCROWP16840,129
GCROWP40060104,129
GCROWP47699983,129
GCROWP86144377,129
GCROWP53465974,129
GCROWP12732653,129
GCROWP40137075,129
GCROWP21652712,129
GCROWP71548149,129
GCROWP12727126,129
